Name,DC or DSD,Store Name,Store Address,DC Address,Shipper Address,Store Latitude,Store Longitude,DC Latitude,DC Longitude,Shipper Latitude,Shipper Longitude
Festival Foods Hudson - Picadeli # 11878 / Customer # 2712,DC,Festival Foods Hudson,"1616 Crest View Drive, Hudson, WI 54016, USA","1940 Ridgeway St, Hammond, WI 54015","72 Produce Row, St Louis, MO 63102",44.9619173,-92.7358484,44.9611159,-92.4383960,38.6534191,-90.1888562
Schnucks Festus - Picadeli # 11875 / Customer # 731,DC,Schnucks Festus,"1181 Gannon Plaza, Festus, MO 63028, USA","8500 Scudder Rd, Kinloch, MO 63140","72 Produce Row, St Louis, MO 63102",38.2103561,-90.4018437,38.7385230,-90.3304905,38.6534191,-90.1888562
Schnucks Mason - Picadeli # 11879 / Customer # 116,DC,Schnucks Mason,"12756 Olive Blvd., St. Louis, MO 63141, USA","8500 Scudder Rd, Kinloch, MO 63140","72 Produce Row, St Louis, MO 63102",38.6784048,-90.4730918,38.7385230,-90.3304905,38.6534191,-90.1888562
Schnucks Knoxville Crossing - Picadeli # 11874 / Customer # 741,DC,Schnucks Knoxville Crossing,"10405 N Centerway Dr., Peoria, IL 61615, USA","8500 Scudder Rd, Kinloch, MO 63140","72 Produce Row, St Louis, MO 63102",40.8151397,-89.6155633,38.7385230,-90.3304905,38.6534191,-90.1888562
Maurer's Market Wisconsin Dells - Picadeli # 11983,DC,Maurer's Market Wisconsin Dells,"216 Washington Avenue, Wisconsin Dells, WI 53965, USA","1940 Ridgeway St, Hammond, WI 54015","72 Produce Row, St Louis, MO 63102",43.6258043,-89.7744903,44.9611159,-92.4383960,38.6534191,-90.1888562
Riesbeck St. Clairsville  - Picadeli # 12089 / AWG # 5527 / Customer # 7,DC,Riesbeck St. Clairsville ,"104 Plaza Drive, St. Clairsville, OH 43950, USA","500 S. Cartwright St., Goodlettsville, TN 37072","72 Produce Row, St Louis, MO 63102",40.0752937,-80.9181344,36.3201535,-86.7057931,38.6534191,-90.1888562
Riesbeck Foods Elm Grove - Picadeli # 12088 / AWG # 5525 / Customer # 5,DC,Riesbeck Foods Elm Grove,"2485 National Road, Wheeling, WV 26003, USA","500 S. Cartwright St., Goodlettsville, TN 37072","72 Produce Row, St Louis, MO 63102",40.0475303,-80.6494263,36.3201535,-86.7057931,38.6534191,-90.1888562
Festival Foods Wausau - Picadeli # 12115 / Customer # 2692,DC,Festival Foods Wausau,"110 South 17th Avenue, Wausau, WI 54401, USA","1940 Ridgeway St, Hammond, WI 54015","72 Produce Row, St Louis, MO 63102",44.9636267,-89.6566372,44.9611159,-92.4383960,38.6534191,-90.1888562
Festival Appleton Northland - Picadeli # 12369 / Customer # 2732,DC,Festival Appleton Northland,"1200 W Northland Ave, Appleton, WI 54914, USA","1940 Ridgeway St, Hammond, WI 54015","72 Produce Row, St Louis, MO 63102",44.2888647,-88.4236538,44.9611159,-92.4383960,38.6534191,-90.1888562
Festival Mount Pleasant - Picadeli # 12373 / Customer # 2710,DC,Festival Mount Pleasant,"5740 Washington Avenue, Mount Pleasant, WI 53406, USA","1940 Ridgeway St, Hammond, WI 54015","72 Produce Row, St Louis, MO 63102",42.7213110,-87.8497178,44.9611159,-92.4383960,38.6534191,-90.1888562
Barnesville Grocery - Picadeli # 12398 / Customer # 7594,DC,Barnesville Grocery,"123 2nd Street SE, Barnesville, MN 56514, USA","1940 Ridgeway St, Hammond, WI 54015","72 Produce Row, St Louis, MO 63102",46.6526366,-96.4191562,44.9611159,-92.4383960,38.6534191,-90.1888562
Sky Cafe - Picadeli # 12431 / Customer # 21254,DSD,Sky Cafe,"5700 South Maryland Ave, Chicago, IL 60637, USA","5631 South Cottage Grove, Chicago, IL 60637","72 Produce Row, St Louis, MO 63102",41.7910241,-87.6049030,41.7921650,-87.6057560,38.6534191,-90.1888562
Mace Cuba - Picadeli # 12435 / AWG # 2303 / Customer # 2303,DC,Mace Cuba,"200 N Franklin Street, Cuba, MO 65453, USA","3201 East Division St., Springfield, MO 65802","72 Produce Row, St Louis, MO 63102",38.0638952,-91.4049047,37.2279896,-93.2269419,38.6534191,-90.1888562
Daggett's Fresh Foods - Picadeli # 12437 / AWG # 7346,DC,Daggett's Fresh Foods,"104 1st Street NE, Hinckley, MN 55037, USA","275 74th St South, St. Cloud, MN 56301","72 Produce Row, St Louis, MO 63102",46.0163930,-92.9415283,45.4579260,-94.1098870,38.6534191,-90.1888562
Hays Paragould - Picadeli # 12497 / AWG # 3266 / Customer # 9,DC,Hays Paragould,"1701 Paragould Plaza, Paragould, AR 72450, USA","500 Kapik Road, Hernando, MS 38632","72 Produce Row, St Louis, MO 63102",36.0549185,-90.5086149,34.8638931,-90.0016120,38.6534191,-90.1888562
Food Smart Newport - Picadeli # 12496 / AWG # 3169 / Customer # 14,DC,Food Smart Newport,"805 Highway 367 N, Newport, AR 72112, USA","500 Kapik Road, Hernando, MS 38632","72 Produce Row, St Louis, MO 63102",35.6128322,-91.2531112,34.8638931,-90.0016120,38.6534191,-90.1888562
White's Foodliner Kingman - Picadeli # 12473 / AWG # 0951 / Customer # 78,DC,White's Foodliner Kingman,"858 East Avenue D, Kingman, KS 67068, USA","4701 Speaker Rd, Kansas City, KS 66106","72 Produce Row, St Louis, MO 63102",37.6458491,-98.1136734,39.0944368,-94.6864358,38.6534191,-90.1888562
White's Foodliner Lindsborg - Picadeli # 12474 / AWG # 0498 / Customer # 498,DC,White's Foodliner Lindsborg,"215 N Harrison Street, Lindsborg, KS 67456, USA","4701 Speaker Rd, Kansas City, KS 66106","72 Produce Row, St Louis, MO 63102",38.5758014,-97.6675439,39.0944368,-94.6864358,38.6534191,-90.1888562
King Food Saver Springfield - North Nolting Avenue - Picadeli # 12577 / AWG # 2968 / Customer # 20,DC,King Food Saver Springfield - North Nolting Avenue,"335 North Nolting Avenue, Springfield, MO 65802, USA","3201 East Division St., Springfield, MO 65802","72 Produce Row, St Louis, MO 63102",37.2104990,-93.3459785,37.2279896,-93.2269419,38.6534191,-90.1888562
Country Mart Hollister - Picadeli # 12559 / AWG # 2903 / Customer # 70,DC,Country Mart Hollister,"200 Southtowne Boulevard, Hollister, MO 65672, USA","3201 East Division St., Springfield, MO 65802","72 Produce Row, St Louis, MO 63102",36.6119278,-93.2290621,37.2279896,-93.2269419,38.6534191,-90.1888562
Country Mart Branson - Picadeli # 12558 / AWG # 2904 / Customer # 71,DC,Country Mart Branson,"1447 State Hwy 248, Suite J, Branson, MO 65616, USA","3201 East Division St., Springfield, MO 65802","72 Produce Row, St Louis, MO 63102",36.6624648,-93.2410857,37.2279896,-93.2269419,38.6534191,-90.1888562
Price Cutter Ozark - Picadeli # 12561 / AWG # 2396 / Customer # 4,DC,Price Cutter Ozark,"5504 North 17th Street, Ozark, MO 65721, USA","3201 East Division St., Springfield, MO 65802","72 Produce Row, St Louis, MO 63102",37.0720635,-93.2226162,37.2279896,-93.2269419,38.6534191,-90.1888562
Price Cutter Republic – US Hwy 60 East - Picadeli # 12578 / AWG # 2952 / Customer # 17,DC,Price Cutter Republic – US Hwy 60 East,"1013 US-60, Republic, MO 65738, USA","3201 East Division St., Springfield, MO 65802","72 Produce Row, St Louis, MO 63102",37.1261253,-93.4654559,37.2279896,-93.2269419,38.6534191,-90.1888562
Price Cutter Springfield - South National - Picadeli # 12579 / AWG # 2923 / Customer # 51,DC,Price Cutter Springfield - South National,"4228 South National Avenue, Springfield, MO 65810, USA","3201 East Division St., Springfield, MO 65802","72 Produce Row, St Louis, MO 63102",37.1361639,-93.2767845,37.2279896,-93.2269419,38.6534191,-90.1888562
Price Cutter Nixa - Picadeli # 12560 / AWG # 2922 / Customer # 55,DC,Price Cutter Nixa,"400 North Massey Boulevard, Nixa, MO 65714, USA","3201 East Division St., Springfield, MO 65802","72 Produce Row, St Louis, MO 63102",37.0451920,-93.3014025,37.2279896,-93.2269419,38.6534191,-90.1888562
Sunshine Foods Spring Valley - Picadeli # 12498 / AWG # 7011 / Customer # 9751,DC,Sunshine Foods Spring Valley,"501 N. Park Drive, Spring Valley, MN 55975, USA","275 74th St South, St. Cloud, MN 56301","72 Produce Row, St Louis, MO 63102",43.6991769,-92.3972434,45.4579260,-94.1098870,38.6534191,-90.1888562
Schnucks Mahomet - Picadeli # 12612 / Customer # 709,DC,Schnucks Mahomet,"202 Eastwood Dr, Mahomet, IL 61853, USA","8500 Scudder Rd, Kinloch, MO 63140","72 Produce Row, St Louis, MO 63102",40.1961495,-88.3951619,38.7385230,-90.3304905,38.6534191,-90.1888562
IGA Jasper - Picadeli # 12587 / AWG # 1470 / Customer # 450,DC,IGA Jasper,"750 W 2nd Street, Jasper, IN 47546, USA","500 S. Cartwright St., Goodlettsville, TN 37072","72 Produce Row, St Louis, MO 63102",38.3891566,-86.9400324,36.3201535,-86.7057931,38.6534191,-90.1888562
Pruett's Food McAlester - Picadeli # 12609 / AWG # 4337 / Customer # 7,DC,Pruett's Food McAlester,"601 E Wyandotte Ave, McAlester, OK 74501, USA","5600 S Council, Oklahoma City, OK 73179","72 Produce Row, St Louis, MO 63102",34.9276642,-95.7621593,35.4110229,-97.6500294,38.6534191,-90.1888562
White's Foodliner Phillipsburg - Picadeli # 12641 / AWG # 0954 / Customer # 82,DC,White's Foodliner Phillipsburg,"934 3rd Street, Phillipsburg, KS 67661, USA","4701 Speaker Rd, Kansas City, KS 66106","72 Produce Row, St Louis, MO 63102",39.7584430,-99.3237314,39.0944368,-94.6864358,38.6534191,-90.1888562
White's Foodliner Lyons - Picadeli # 12718 / AWG # 0957,DC,White's Foodliner Lyons,"1105 W Main Street, Lyons, KS 67554, USA","4701 Speaker Rd, Kansas City, KS 66106","72 Produce Row, St Louis, MO 63102",38.3486904,-98.2181650,39.0944368,-94.6864358,38.6534191,-90.1888562
White's Foodliner St. John - Picadeli # 12643 / AWG # 0494 / Customer # 494,DC,White's Foodliner St. John,"329 N. US Highway 281, St. John, KS 67576, USA","4701 Speaker Rd, Kansas City, KS 66106","72 Produce Row, St Louis, MO 63102",38.0036363,-98.7477432,39.0944368,-94.6864358,38.6534191,-90.1888562
White's Foodliner Medicine Lodge - Picadeli # 12642 / AWG # 4506 / Customer # 79,DC,White's Foodliner Medicine Lodge,"225 S. Iliff, Medicine Lodge, KS 67104, USA","5600 S Council, Oklahoma City, OK 73179","72 Produce Row, St Louis, MO 63102",37.2781355,-98.5873837,35.4110229,-97.6500294,38.6534191,-90.1888562
Sunshine Foods Luverne - Picadeli # 12656 / AWG # 9236,DC,Sunshine Foods Luverne,"205 E WARREN ST, Luverne, MN 56156 , USA","1810 S 16th St, Norfolk, NE 68701","72 Produce Row, St Louis, MO 63102",43.6533575,-96.2073152,42.0132401,-97.4319879,38.6534191,-90.1888562
Price Less IGA Louisville Rd - Picadeli # 12689 / AWG # 5634 / Customer # 484,DC,Price Less IGA Louisville Rd,"3170 Louisville Rd, Bowling Green, KY 42101, USA","500 S. Cartwright St., Goodlettsville, TN 37072","72 Produce Row, St Louis, MO 63102",37.0091815,-86.3944439,36.3201535,-86.7057931,38.6534191,-90.1888562
White's Foodliner Osage - Picadeli # 12750 / AWG # 0921,DC,White's Foodliner Osage,"880 Lakin Street, Osage City, KS 66523, USA","4701 Speaker Rd, Kansas City, KS 66106","72 Produce Row, St Louis, MO 63102",38.6381824,-95.8207397,39.0944368,-94.6864358,38.6534191,-90.1888562
Johns IGA Versailles - Picadeli # 12661 / AWG # 8297 / Customer # 1327,DC,Johns IGA Versailles,"1327 E Main St, Versailles, OH 45380, USA","8100 60th St, Kenosha, WI 53144","72 Produce Row, St Louis, MO 63102",40.2253299,-84.4653750,42.5852581,-87.9089775,38.6534191,-90.1888562
Red's Hometown Market Spring Grove - Picadeli # 12691 / AWG # 7330,DC,Red's Hometown Market Spring Grove,"500 East Main Street, Spring Grove, MN 55974, USA","275 74th St South, St. Cloud, MN 56301","72 Produce Row, St Louis, MO 63102",43.5611511,-91.6291127,45.4579260,-94.1098870,38.6534191,-90.1888562
Betty Ann Market Mascoutah - Picadeli # 12659 / AWG # 2710,DC,Betty Ann Market Mascoutah,"95 Mascoutah Plaza Drive, Mascoutah, IL 62258, USA","3201 East Division St., Springfield, MO 65802","72 Produce Row, St Louis, MO 63102",38.4966520,-89.7957505,37.2279896,-93.2269419,38.6534191,-90.1888562
Rivertown IGA New Richmond - Picadeli # 12679 / AWG # 5011,DC,Rivertown IGA New Richmond,"1041 Old US Highway 52 A, New Richmond, OH 45157, USA","500 S. Cartwright St., Goodlettsville, TN 37072","72 Produce Row, St Louis, MO 63102",38.9641446,-84.2853078,36.3201535,-86.7057931,38.6534191,-90.1888562
Schnucks Downtown - Picadeli # 12692 / Customer # 301,DC,Schnucks Downtown,"315 N 9th Street, St. Louis, MO 63101, USA","8500 Scudder Rd, Kinloch, MO 63140","72 Produce Row, St Louis, MO 63102",38.6291542,-90.1940573,38.7385230,-90.3304905,38.6534191,-90.1888562
Giant Eagle Glenshaw - Picadeli # 12843 / Customer # 18,DC,Giant Eagle Glenshaw,"1671 Butler Plank Rd, Glenshaw, PA 15116, USA","735 Beechnut Drive, Pittsburgh, PA 15205","400 Wabash Road, Ephrata, PA 17522",40.5378264,-79.9652576,40.4514608,-80.0849837,40.2076711,-76.1532554
Giant Eagle Seven Fields - Picadeli # 12851 / Customer # 42,DC,Giant Eagle Seven Fields,"206 Seven Fields Blvd, Seven Fields, PA 16046, USA","735 Beechnut Drive, Pittsburgh, PA 15205","400 Wabash Road, Ephrata, PA 17522",40.6895217,-80.0588029,40.4514608,-80.0849837,40.2076711,-76.1532554
Giant Eagle Monroeville - Picadeli # 12880 / Customer # 60,DC,Giant Eagle Monroeville,"4010 Monroeville Blvd, Monroeville, PA 15146, USA","735 Beechnut Drive, Pittsburgh, PA 15205","400 Wabash Road, Ephrata, PA 17522",40.4321241,-79.7726522,40.4514608,-80.0849837,40.2076711,-76.1532554
Giant Eagle McMurray - Picadeli # 12879 / Customer # 70,DC,Giant Eagle McMurray,"4007 Washington Road, McMurray, PA 15317, USA","735 Beechnut Drive, Pittsburgh, PA 15205","400 Wabash Road, Ephrata, PA 17522",40.2691352,-80.1266328,40.4514608,-80.0849837,40.2076711,-76.1532554
Klema Apple Market Russell - Picadeli # 12688 / AWG # 0297,DC,Klema Apple Market Russell,"51 South Fossil Street, Russell, KS 67665, USA","4701 Speaker Rd, Kansas City, KS 66106","72 Produce Row, St Louis, MO 63102",38.8847247,-98.8550946,39.0944368,-94.6864358,38.6534191,-90.1888562
White's Foodliner Scott City - Picadeli # 12821 / AWG # 4502,DC,White's Foodliner Scott City,"1314 Main Street, Scott City, KS 67871, USA","5600 S Council, Oklahoma City, OK 73179","72 Produce Row, St Louis, MO 63102",38.4726949,-100.9059705,35.4110229,-97.6500294,38.6534191,-90.1888562
Jamboree Foods Norton - Picadeli # 12714 / AWG # 9116 / Customer # 2,DC,Jamboree Foods Norton,"117 N 2nd Avenue, Norton, KS 67654, USA","1810 S 16th St, Norfolk, NE 68701","72 Produce Row, St Louis, MO 63102",39.8297869,-99.8910176,42.0132401,-97.4319879,38.6534191,-90.1888562
Hartman's Supervalu Ortonville - Picadeli # 12800 / Customer # 1584,DC,Hartman's Supervalu Ortonville,"149 1st St NW, Ortonville, MN 56278, USA","1940 Ridgeway St, Hammond, WI 54015","72 Produce Row, St Louis, MO 63102",45.3055742,-96.4478329,44.9611159,-92.4383960,38.6534191,-90.1888562
Darold's Supervalu Benson - Picadeli # 12799 / Customer # 7708,DC,Darold's Supervalu Benson,"200 12th Street South, Benson, MN 56215, USA","1940 Ridgeway St, Hammond, WI 54015","72 Produce Row, St Louis, MO 63102",45.3130532,-95.6000008,44.9611159,-92.4383960,38.6534191,-90.1888562
Sonny’s Super Foods Bridgeport - Picadeli # 12828 / AWG # 9105 / Customer # 1,DC,Sonny’s Super Foods Bridgeport,"310 Main Street, Bridgeport, NE 69336, USA","1810 S 16th St, Norfolk, NE 68701","72 Produce Row, St Louis, MO 63102",41.6736112,-103.0980483,42.0132401,-97.4319879,38.6534191,-90.1888562
Sonny’s Super Foods Sidney - Picadeli # 12822 / AWG # 9104 / Customer # 2,DC,Sonny’s Super Foods Sidney,"2020 10th Avenue, Sidney, NE 69162, USA","1810 S 16th St, Norfolk, NE 68701","72 Produce Row, St Louis, MO 63102",41.1339988,-102.9770782,42.0132401,-97.4319879,38.6534191,-90.1888562
Sonny’s Super Foods Cozad - Picadeli # 12829 / AWG # 9107 / Customer # 4,DC,Sonny’s Super Foods Cozad,"321 E 8th Street, Cozad, NE 69130, USA","1810 S 16th St, Norfolk, NE 68701","72 Produce Row, St Louis, MO 63102",40.8592235,-99.9821707,42.0132401,-97.4319879,38.6534191,-90.1888562
Sonny’s Super Foods Hot Springs - Picadeli # 12830 / AWG # 9106 / Customer # 3,DC,Sonny’s Super Foods Hot Springs,"801 Jensen Hwy, Hot Springs, SD 57747, USA","1810 S 16th St, Norfolk, NE 68701","72 Produce Row, St Louis, MO 63102",43.4237072,-103.4651359,42.0132401,-97.4319879,38.6534191,-90.1888562
Sunshine Foods Milford - Picadeli # 12881 / AWG # 9037,DC,Sunshine Foods Milford,"1704 Okoboji Avenue, Milford, IA 51351, USA","1810 S 16th St, Norfolk, NE 68701","72 Produce Row, St Louis, MO 63102",43.3319640,-95.1491975,42.0132401,-97.4319879,38.6534191,-90.1888562
G&W Foods Iola - Picadeli # 12893 / AWG # 2753 / Customer # 38,DC,G&W Foods Iola,"802 East Madison Street, Iola, KS 66749, USA","3201 East Division St., Springfield, MO 65802","72 Produce Row, St Louis, MO 63102",37.9213962,-95.3948628,37.2279896,-93.2269419,38.6534191,-90.1888562
Village Market Cash Saver Hermann - Picadeli # 12894 / AWG # 2719 / Customer # 34,DC,Village Market Cash Saver Hermann,"2092 Village Lane, Hermann, MO 65041, USA","3201 East Division St., Springfield, MO 65802","72 Produce Row, St Louis, MO 63102",38.7043386,-91.4378665,37.2279896,-93.2269419,38.6534191,-90.1888562